% Model,Furnace_axisym_emmisivity_study_20230825_5.mph
% Version,COMSOL 5.6.0.280
% Date,"Aug 29 2023, 10:39"
% Table,Table 10 - Temperatureqwe - 
% s (mm),Temperature (degC)
360.2343850000001,1100
361.0625100000001,1100
361.8906350000001,1100
362.7187600000001,1100
363.5468850000001,1100
364.3750100000001,1100
365.2031350000001,1100
366.0312600000001,1100
366.8593850000001,1100
367.6875100000001,1100
368.5156350000001,1100
369.3437600000001,1100
370.1718850000001,1100
371.0000100000001,1100
371.8281350000001,1100
372.6562600000001,1100
373.4843850000001,1100
374.3125100000001,1100
375.1406350000001,1100
375.9687600000001,1100
376.7968850000001,1100
377.6250100000001,1100
378.4531350000001,1100
379.2812600000001,1100
380.1093850000001,1100
380.9375100000001,1100
381.7656350000001,1100
382.5937600000001,1100
383.42188516666675,1100
384.2500103333334,1100
385.0781355000001,1100
385.90626066666675,1100
386.7343858333334,1100
387.5625110000001,1100
388.3906360000001,1100
389.2187610000001,1100
390.0468860000001,1100
390.8750110000001,1100
391.7031360000001,1100
392.5312610000001,1100
393.35938610166676,1100
394.18751120333343,1100
395.0156363050001,1100
395.8437614066668,1100
396.67188650833344,1100
397.5000116100001,1100
